id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2021-01-01 00:00:00;4433.04700000;2486.07300000;8534.65500000;0E-8;10343.54000000;5110.23499999
N;NORTE;2021-01-01 00:00:00;4667.04800000;2726.02999999;261.17399999;0E-8;5511.80100000;2142.45100000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 00:00:00;34012.19400000;14938.59600000;8946.09700000;0E-8;58414.26000000;-517.37000000
SE;SUDESTE/CENTRO-OESTE;2021-01-01 00:00:00;23628.33100000;8024.25100000;0E-8;0E-8;33498.35200000;-1845.76999999
S;SUL;2021-01-01 00:00:00;1283.76800000;1702.24200000;150.26800000;0E-8;9060.56698583;-5924.28898583
NE;NORDESTE;2021-01-01 01:00:00;3979.40500000;2567.26300000;8566.93800000;0E-8;10428.16700000;4685.43900000
N;NORTE;2021-01-01 01:00:00;4644.04700000;2697.46999999;198.45500000;0E-8;5470.13300000;2069.83900000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 01:00:00;33751.70500000;14964.67000000;8885.14100000;0E-8;58101.50000000;-499.98000000
SE;SUDESTE/CENTRO-OESTE;2021-01-01 01:00:00;23906.06599999;8001.49199999;0E-8;0E-8;33183.00599999;-1275.44800000
S;SUL;2021-01-01 01:00:00;1222.18700000;1698.44499999;119.74800000;0E-8;9020.19098754;-5979.81098754
NE;NORDESTE;2021-01-01 02:00:00;4320.81800000;2576.16599999;8242.00100000;0E-8;10428.88100000;4710.10399999
N;NORTE;2021-01-01 02:00:00;4647.39099999;2695.05900000;194.77900000;0E-8;5497.59099999;2039.63800000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 02:00:00;33479.39000000;14938.25000000;8557.11900000;0E-8;57253.71000000;-278.95000000
SE;SUDESTE/CENTRO-OESTE;2021-01-01 02:00:00;23295.40800000;7994.02600000;0E-8;0E-8;32630.70100000;-1341.26699999
S;SUL;2021-01-01 02:00:00;1215.77299999;1672.99900000;120.33900000;0E-8;8696.53799584;-5687.42699584
NE;NORDESTE;2021-01-01 03:00:00;4428.23600000;2567.74699999;7913.27199999;0E-8;10380.59399999;4528.66100000
N;NORTE;2021-01-01 03:00:00;4647.14700000;2694.30200000;207.69600000;0E-8;5508.80300000;2040.34200000
